County Name,Station Name,OIS #,Station Address,Phone Number,Inspects Passenger Cars and Light trucks,Inspects Medium Trucks,Inspects Heavy Trucks,Inspects Motorcycles,"Inspects Light Trailers Less Than 10,000 lbs or less","Inspects Heavy Trailers over 10,000 lbs."
ADAMS,194 Imports Inc,B067,"680 HANOVER PIKE , LITTLESTOWN PA 17340-9543",717-359-7752,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,1stop Auto,CN91,"4800 YORK RD , NEW OXFORD PA 17350-9401",717-465-1801,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,30 West Auto Sales Inc,3060,"1980 CHAMBERSBURG RD , GETTYSBURG PA 17325-7414",717-334-3300,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,97 Auto Inspection,BV10,"4931 BALTIMORE PIKE , LITTLESTOWN PA 17340-9065",717-359-9536,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAMS,A1motors,CM66,"302 S QUEEN ST , LITTLESTOWN PA 17340-1608",717-345-5108,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Agricultural Commodities Inc,K235,"1585 GRANITE STATION RD , GETTYSBURG PA 17325-8345",717-624-6862,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,"Ajk Repair, Welding, & Fabricating Llc",CH03,"25 3RD ST , BIGLERVILLE PA 17307-9671",717-557-3824,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ADAMS,"Alex'S Autoworks, Llc",CH92,"3380 CENTENNIAL RD , HANOVER PA 17331-8771",717-698-1535,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
ADAMS,Allison Svcs,DM08,"455 OLD CARLISLE RD , BIGLERVILLE PA 17307-9049",717-870-1841,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
ADAMS,Angeles Automotive Repair Llc,C078,"401 STONE JUG RD , BIGLERVILLE PA 17307-9097",717-677-1632,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
